Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Argentina,ARG,2019,99.9,100.0,39.283,83616966.37,26727.0,2.38565380674943,4.80455287880549,3.7921740189121,17.9248783778462,9955.97478680428,43.3,,44973465.0,110.498527526855,14802420804.6125,19645594222.0304,9.843
Argentina,ARG,2020,99.9,100.0,39.283,85702826.46,36021.0,1.74689491466564,3.7856441054782,2.93303138044637,16.6054144372484,8535.59938004389,42.7,,45191965.0,112.416679382324,9491737606.79369,12028020373.2581,11.461
Argentina,ARG,2021,99.9,100.0,,87692513.88,34663.0,2.30479846315202,4.48181264134991,3.56995301635816,18.0667091690365,10738.0179223384,42.4,,45312281.0,116.559448242188,9588735677.65264,13288827175.8107,8.736
Argentina,ARG,2022,99.9,100.0,,91584182.57,32840.0,2.27338866298832,4.28713236901607,3.43055589207951,16.248014443903,13935.6811110049,40.7,,45407904.0,115.434867858887,14413679145.6922,21236582139.4671,6.805
Argentina,ARG,2023,,,,,,2.29266549593844,4.07605770994619,3.31014563835596,12.7492457826544,14187.4827252965,,,45538401.0,,16110565248.8682,22526462141.4393,6.139
Aruba,ABW,2000,,91.7,,,324.0,,,,74.3860109498193,20681.0230269625,,4.04402131190513,90588.0,93.7623291015625,1580927374.30168,647804469.273743,
Aruba,ABW,2001,,100.0,,,12.0,,,,70.9967837702649,20740.1325828172,,2.88360430316264,91439.0,95.2861022949219,1826307262.56983,613134078.212291,
Aruba,ABW,2002,,100.0,,,43.0,,,,64.5643135803172,21307.2482505267,,3.31524678585423,92074.0,100.267097473145,1224983240.22346,612463687.150838,
Aruba,ABW,2003,,100.0,,,16.0,,,,62.7312132409209,21949.4859960868,,3.65636507938418,93128.0,99.4354400634766,1606865921.78771,727407821.22905,
Aruba,ABW,2004,,100.0,,,32.0,,,,64.6655585140977,23700.6319899197,,2.52912946932762,95138.0,97.2117691040039,1253318435.75419,645329608.938547,
Aruba,ABW,2005,,100.0,,,2.0,,,,68.0752981880873,24171.8371325422,,3.39778677828806,97635.0,95.5296020507812,1307801365.864,711667278.1247,
Aruba,ABW,2006,,100.0,,,35.0,,,,64.5941526531523,24845.65848362,,3.60802438784541,99405.0,100.635818481445,1309238124.44077,755192026.68679,
Aruba,ABW,2007,,100.0,,,,,,,65.0612625386555,26736.3089444046,,5.39256784475517,100150.0,104.846458435059,1471229050.27933,785418994.413408,
Aruba,ABW,2015,,100.0,,,,,,,72.8529128494511,27458.2253310273,,0.474763597342641,107906.0,,2112795793.89683,883398104.295892,
Aruba,ABW,2016,,100.0,,,,,,,71.8204350098217,27441.5296617282,,-0.931195987079561,108727.0,,2060433132.86937,872605365.306978,
Aruba,ABW,2017,,100.0,,,,,,,72.5486898260087,28440.051963759,,-1.02828178762012,108735.0,,2171061368.08448,914224017.750217,
Aruba,ABW,2018,,100.0,,,,,,,72.2527739552586,30082.1276448186,,3.62604141352961,108908.0,137.537155151367,2371960058.51919,1045225727.92376,
